發生時間,發生地點,死亡受傷人數,車種,經度,緯度
111年01月29日 11時43分00秒,桃園市楊梅區楊湖路一段口 / 桃園市楊梅區楊湖路一段口,死亡1;受傷0,普通重型-機車;自用-小客車,121.124343,24.915126
111年01月29日 13時20分00秒,彰化縣伸港鄉海尾村中興路2段 / 彰化縣伸港鄉海尾村海尾路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.488379,24.165629
111年01月29日 23時35分40秒,屏東縣內埔鄉竹山路99號前,死亡1;受傷0,普通重型-機車,120.574329,22.607828
111年01月30日 00時01分00秒,新北市板橋區中山路1段252號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車,121.471462,25.014501
111年01月30日 05時22分00秒,新北市新店區新北市新店區灣潭路與灣潭路21號,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.538167,24.941232
111年01月30日 07時25分00秒,宜蘭縣壯圍鄉新南路2段附近 / 宜蘭縣壯圍鄉新南路附近,死亡1;受傷1,普通重型-機車;普通重型-機車,121.799526,24.719252
111年01月30日 09時55分00秒,臺南市新化區那拔5號,死亡1;受傷1,自用-小客車;乘客-人,120.343353,23.066606
111年01月30日 10時26分19秒,嘉義縣梅山鄉瑞峰村162甲線33.6公里,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.657460,23.562802
111年01月30日 11時35分00秒,苗栗縣頭份市中央路與中央路154巷口,死亡1;受傷0,自用-小客車;普通重型-機車,120.906412,24.687624
111年01月30日 15時39分28秒,屏東縣萬巒鄉建興路北上車道,死亡1;受傷3,普通重型-機車;普通重型-機車;乘客-人;乘客-人,120.571158,22.587278
111年01月30日 20時21分00秒,彰化縣大城鄉上山村魚寮路前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-小貨車(含客、貨兩用),120.347672,23.906687
111年01月31日 00時14分00秒,臺東縣臺東市建和二街17巷23號前0.0公尺,死亡1;受傷0,普通重型-機車,121.051103,22.719026
111年01月31日 06時18分00秒,桃園市楊梅區中山北路一段國道一號南下匝道口往楊梅市區方向,死亡1;受傷0,自用-小客車;普通重型-機車,121.164073,24.909299
111年01月31日 10時00分00秒,臺中市北區金華里進化路 / 臺中市北區金華里興進路,死亡1;受傷0,自用-小客車;普通重型-機車,120.694374,24.155267
111年01月31日 15時32分01秒,花蓮縣豐濱鄉台11線 61公里300.0公尺處,死亡1;受傷3,自用-小貨車(含客、貨兩用);乘客-人;乘客-人;乘客-人,121.523996,23.579595
111年01月31日 15時53分00秒,桃園市龜山區忠義路一段上機車優先道往長壽路方向(電桿:楓樹幹21B4235HF374旁),死亡1;受傷0,普通重型-機車,121.348309,25.017473
